ABOUT	Common	Very common everyday word.
ABLE	Common	Very common everyday word.
ACID	Uncommon	Recognizable word, but less common than everyday vocabulary.
ACROSS	Common	Very common everyday word.
ACTION	Common	Very common everyday word.
ACTOR	Common	Common everyday word.
ADULT	Common	Common everyday word.
ADVICE	Common	Common everyday word.
AIR	Common	Very common everyday word.
ALSO	Common	Very common everyday word.
AFTER	Common	Very common everyday word.
AGAIN	Common	Very common everyday word.
AGREE	Common	Very common everyday word.
ALARM	Common	Common everyday word.
ALIEN	Common	Common everyday word.
ANGLE	Common	Common everyday word.
ALWAYS	Common	Very common everyday word.
ANIMAL	Common	Common everyday word.
ANSWER	Common	Common everyday word.
APPLE	Common	Common everyday word.
AREA	Common	Very common everyday word.
ARM	Common	Very common everyday word.
AROUND	Common	Very common everyday word.
ART	Common	Very common everyday word.
ARTIST	Common	Common everyday word.
ATTACK	Common	Common everyday word.
BEAUTY	Common	Common everyday word.
BEACH	Common	Common everyday word.
BEFORE	Common	Very common everyday word.
BEHIND	Common	Very common everyday word.
BELIEF	Common	Common everyday word.
BLACK	Common	Very common everyday word.
BLUE	Common	Very common everyday word.
BOARD	Common	Common everyday word.
BOAT	Common	Common everyday word.
BONE	Common	Common everyday word.
BOTTLE	Common	Common everyday word.
BRAIN	Common	Common everyday word.
BREAD	Common	Common everyday word.
BREAK	Common	Very common everyday word.
BROTHER	Common	Very common everyday word.
BROWN	Common	Very common everyday word.
BUILD	Common	Common everyday word.
BUSINESS	Common	Very common everyday word.
CAMERA	Common	Common everyday word.
CAR	Common	Very common everyday word.
CARE	Common	Very common everyday word.
CARD	Common	Common everyday word.
CAUSE	Common	Very common everyday word.
CHAIR	Common	Common everyday word.
CHILD	Common	Very common everyday word.
CITY	Common	Very common everyday word.
CLEAR	Common	Very common everyday word.
CLOCK	Common	Common everyday word.
CLOUD	Common	Common everyday word.
COAST	Common	Common everyday word.
COLOR	Common	Very common everyday word.
COUNT	Common	Common everyday word.
CRANE	Uncommon	Recognizable word, but less common than everyday vocabulary.
DANCE	Common	Common everyday word.
DEATH	Common	Very common everyday word.
DESIGN	Common	Common everyday word.
DINNER	Common	Common everyday word.
DOG	Common	Very common everyday word.
DREAM	Common	Common everyday word.
DRINK	Common	Common everyday word.
EARTH	Common	Very common everyday word.
EIGHT	Common	Common everyday word.
ENERGY	Common	Very common everyday word.
EVENT	Common	Very common everyday word.
FAMILY	Common	Very common everyday word.
FIELD	Common	Common everyday word.
FIRE	Common	Very common everyday word.
FIRST	Common	Very common everyday word.
FLOOR	Common	Common everyday word.
FLOWER	Common	Common everyday word.
FOUND	Common	Very common everyday word.
FRIEND	Common	Very common everyday word.
FRUIT	Common	Common everyday word.
GAME	Common	Very common everyday word.
GARDEN	Common	Common everyday word.
GIRL	Common	Very common everyday word.
GLASS	Common	Common everyday word.
GRAPE	Common	Common everyday word.
GREEN	Common	Very common everyday word.
GROUP	Common	Very common everyday word.
HEART	Common	Common everyday word.
HORSE	Common	Common everyday word.
HOUSE	Common	Very common everyday word.
HUMAN	Common	Very common everyday word.
IMAGE	Common	Very common everyday word.
INSIDE	Common	Very common everyday word.
ISLAND	Common	Common everyday word.
KNIFE	Common	Common everyday word.
LAKE	Common	Common everyday word.
LIGHT	Common	Very common everyday word.
LINE	Common	Very common everyday word.
MACHINE	Common	Common everyday word.
MARKET	Common	Common everyday word.
MIDDLE	Common	Very common everyday word.
MONEY	Common	Very common everyday word.
MONTH	Common	Very common everyday word.
MOUND	Uncommon	Recognizable word, but less common than everyday vocabulary.
MOUSE	Common	Common everyday word.
MUSIC	Common	Common everyday word.
NIGHT	Common	Very common everyday word.
NORTH	Common	Common everyday word.
OCEAN	Common	Common everyday word.
PAPER	Common	Common everyday word.
PARTY	Common	Common everyday word.
PEOPLE	Common	Very common everyday word.
PHONE	Common	Very common everyday word.
PLANT	Common	Common everyday word.
PLAYER	Common	Common everyday word.
POINT	Common	Very common everyday word.
POWER	Common	Very common everyday word.
QUEEN	Common	Common everyday word.
QUIET	Common	Common everyday word.
RIVER	Common	Common everyday word.
ROBOT	Common	Common everyday word.
ROUND	Common	Very common everyday word.
SCHOOL	Common	Very common everyday word.
SHEEP	Common	Common everyday word.
SLATE	Uncommon	Recognizable word, but less common than everyday vocabulary.
SMILE	Common	Common everyday word.
SNAKE	Common	Common everyday word.
SOUND	Common	Very common everyday word.
SPACE	Common	Common everyday word.
SPIRIT	Common	Common everyday word.
STONE	Common	Common everyday word.
STORY	Common	Common everyday word.
STREET	Common	Very common everyday word.
TABLE	Common	Common everyday word.
THING	Common	Very common everyday word.
TIGER	Common	Common everyday word.
TRAIN	Common	Very common everyday word.
WATER	Common	Very common everyday word.
WOMAN	Common	Very common everyday word.
WHITE	Common	Very common everyday word.
WORLD	Common	Very common everyday word.
